Row,Date,Time,Device,State
0,06/12/21,10:45:21,Heat Ex Comp,0
1,06/12/21,10:57:31,Heat Ex Comp,1
2,06/12/21,10:57:31,Cooling,1
3,06/12/21,11:00:00,Effulent Coil,0
4,06/12/21,11:00:11,Heat Ex Comp,0
5,06/12/21,11:00:37,Conductivity Pump,1
6,06/12/21,11:00:47,Conductivity Pump,0
7,06/12/21,11:01:52,Conductivity Pump,1
8,06/12/21,11:02:02,Conductivity Pump,0
9,06/12/21,11:04:02,Conductivity Pump,1
10,06/12/21,11:04:12,Conductivity Pump,0
11,06/12/21,11:08:17,Cooling,1
12,06/12/21,11:10:11,Heat Ex Comp,1
13,06/12/21,11:17:54,pH Pump,1
14,06/12/21,11:18:25,pH Pump,0
15,06/12/21,11:21:33,pH Pump,1
16,06/12/21,11:22:03,pH Pump,0
17,06/12/21,11:25:44,pH Pump,1
18,06/12/21,11:26:13,pH Pump,0
19,06/12/21,11:29:53,pH Pump,1
20,06/12/21,11:30:23,pH Pump,0
21,06/12/21,11:30:41,Heat Ex Comp,0
22,06/12/21,11:34:03,pH Pump,1
23,06/12/21,11:34:18,Heating,1
24,06/12/21,11:34:33,pH Pump,0
25,06/12/21,11:38:13,pH Pump,1
26,06/12/21,11:38:41,pH Pump,0
27,06/12/21,11:40:42,Heat Ex Comp,1
28,06/12/21,11:55:42,Heat Ex Comp,0
29,06/12/21,11:57:58,Cooling,1
30,06/12/21,12:05:42,Heat Ex Comp,1
31,06/12/21,12:10:03,Heat Ex Comp,0
32,06/12/21,12:15:06,Cooling,1
33,06/12/21,12:20:03,Heat Ex Comp,1
34,06/12/21,12:21:06,Effulent Coil,1
35,06/12/21,12:23:24,Heat Ex Comp,0
36,06/12/21,12:30:54,Cooling,1
37,06/12/21,12:33:24,Heat Ex Comp,1
38,06/12/21,12:36:15,Heat Ex Comp,0
39,06/12/21,12:40:01,Effulent Coil,0
40,06/12/21,12:46:00,Cooling,1
41,06/12/21,12:46:16,Heat Ex Comp,1
42,06/12/21,12:49:02,Heat Ex Comp,0
43,06/12/21,12:59:43,Heat Ex Comp,1
44,06/12/21,12:59:43,Cooling,1
45,06/12/21,13:02:24,Heat Ex Comp,0
46,06/12/21,13:15:07,Heat Ex Comp,1
47,06/12/21,13:15:07,Cooling,1
48,06/12/21,13:17:56,Heat Ex Comp,0
49,06/12/21,13:29:43,Heat Ex Comp,1
50,06/12/21,13:29:43,Cooling,1
51,06/12/21,13:32:26,Heat Ex Comp,0
52,06/12/21,13:44:56,Heat Ex Comp,1
53,06/12/21,13:44:56,Cooling,1
54,06/12/21,13:47:38,Heat Ex Comp,0
55,06/12/21,13:54:17,Cooling,1
56,06/12/21,13:57:38,Heat Ex Comp,1
57,06/12/21,14:01:07,Effulent Coil,1
58,06/12/21,14:08:45,pH Pump,1
59,06/12/21,14:09:06,Heat Ex Comp,0
60,06/12/21,14:09:15,pH Pump,0
61,06/12/21,14:11:49,Heating,1
62,06/12/21,14:12:55,pH Pump,1
63,06/12/21,14:13:25,pH Pump,0
64,06/12/21,14:17:05,pH Pump,1
65,06/12/21,14:17:35,pH Pump,0
66,06/12/21,14:19:06,Heat Ex Comp,1
67,06/12/21,14:20:01,Effulent Coil,0
68,06/12/21,14:28:51,Heat Ex Comp,0
69,06/12/21,14:30:48,Cooling,1
70,06/12/21,14:38:51,Heat Ex Comp,1
71,06/12/21,14:50:35,Heat Ex Comp,0
72,06/12/21,14:50:43,Heating,1
73,06/12/21,15:20:26,Heat Ex Comp,1
74,06/12/21,15:20:26,Cooling,1
