Row,Date,Time,Level,Temperature,pH,Conductivity,Flow,DO
0,12/26/21,12:39:46,23.4,23.4,7.58,801,17,0
1,12/26/21,12:40:46,23.3,23.4,7.58,801,17,0
2,12/26/21,12:41:46,23.2,23.4,7.58,802,17,0
3,12/26/21,12:42:46,23.3,23.4,7.58,801,17,0
4,12/26/21,12:43:46,23.3,23.4,7.58,800,16,0
5,12/26/21,12:44:46,23.3,23.2,7.58,799,17,0
6,12/26/21,12:45:46,23.4,23.1,7.58,798,16,0
7,12/26/21,12:46:46,23.4,23,7.58,798,17,0
8,12/26/21,12:47:46,23.3,23.1,7.58,799,17,0
9,12/26/21,12:48:46,23.4,23.2,7.58,801,17,0
10,12/26/21,12:49:46,23.4,23.3,7.58,802,17,0
11,12/26/21,12:50:46,23.4,23.3,7.58,802,16,0
12,12/26/21,12:51:46,23.3,23.3,7.58,803,17,0
13,12/26/21,12:52:46,23.4,23.4,7.58,801,17,0
14,12/26/21,12:53:46,24,23.4,7.53,802,16,0
15,12/26/21,12:54:47,24.1,23.4,7.53,801,17,0
16,12/26/21,12:55:46,24.1,23.5,7.53,802,17,0
17,12/26/21,12:56:46,24.2,23.5,7.53,803,17,0
18,12/26/21,12:57:46,24.2,23.4,7.53,802,17,0
19,12/26/21,12:58:46,24.2,23.2,7.53,800,17,0
20,12/26/21,12:59:46,24.2,23,7.53,801,16,0
21,12/26/21,13:00:47,24.2,22.9,7.53,801,17,0
22,12/26/21,13:01:47,24.2,23,7.56,802,17,0
23,12/26/21,13:02:47,24.2,23.1,7.56,803,17,0
24,12/26/21,13:03:47,24.2,23.2,7.56,805,16,0
25,12/26/21,13:04:46,24.3,23.3,7.56,805,17,0
26,12/26/21,13:05:46,24.2,23.3,7.56,805,17,0
27,12/26/21,13:06:46,24.2,23.3,7.56,805,17,0
28,12/26/21,13:07:47,24.3,23.4,7.56,805,17,0
29,12/26/21,13:08:47,24.2,23.4,7.56,806,17,0
30,12/26/21,13:09:47,24.2,23.4,7.56,807,16,0
